"timestamp","consent","age","gender","employment","region","income","has_bank_account","num_apps","awareness_budgeting","awareness_tracking","awareness_saving","awareness_investing","desire_manage","desire_tool","open_what_is_fm","budget_frequency","budget_followthrough","income_handling","income_handling_other","expense_tracking","expense_knowledge","saving_frequency","saving_pattern","investment_frequency","investment_barrier","sc1_resist_temptation","sc2_break_habits","sc3_act_without_thinking","sc4_stick_to_plan","sc5_give_in_moment","imp1_buy_immediately","imp2_regret_decisions","imp3_say_no_unplanned","imp4_spend_good_mood","proc1_delay_plans","proc2_put_off_statements","proc3_long_to_begin","proc4_sort_next_month","avoid1_avoid_balance","avoid2_prefer_not_think","avoid3_anxious","dg1_enjoy_now","dg2_short_term_sacrifice","dg3_unexpected_money","self_aware_level","self_aware_tendencies","self_aware_would_help","self_aware_tried_change","platforms_used","platforms_other","primary_platform","primary_reason","primary_reason_other","secondary_account_behavior","feature_autocategorize","feature_personalized_budget","feature_nudges","feature_goals","feature_investments","feature_weekly_summary","open_trust","open_hardest_part","personality_app_appeal","open_anything_else","awareness_score","consistency_score","self_control_score","impulsivity_score","procrastination_score","avoidance_score","delayed_gratification_score"
2026-03-27 17:21:05.936,"Yes, I consent - proceed to survey","25-34","Female","Employed full-time","North Central — Benue, Kogi, Kwara, Nasarawa, Niger, Plateau, FCT (Abuja)","N600,000 - N999,999","Yes","4-5",4,5,4,4,5,4,"I think it runs the gamut of self-governance i.e distinguishing between needs and wants, budgeting and sticking to it, tracking expenses, taxation compliance to goal setting i.e determining what financial freedom looks like for me and working towards it. I think it's a whole lot of learning and unlearning and relearning. That's the way to actually grow.",5,4,"I allocate specific amounts to different categories before spending",NA,5,4,5,"I save a fixed amount consistently every month","Yes, regularly (monthly or quarterly)","Not applicable - I invest consistently",5,1,1,5,1,1,1,4,2,2,4,2,4,5,2,3,2,4,"Split it between spending, saving, and investing",4,"I avoid looking at my finances when things are tight",4,"No, I usually succeed when I try","Opay, Other (specify below)","Sterling, Stanbic IBTC","Stanbic IBTC","My salary or main income is paid into it",NA,"It depends on the amount",4,4,4,4,4,4,"Simplicity. User experience.","The fact that we have to keep doing it? Why can't I be a heiress?","Somewhat - I would be curious to try it","Involve me where they are sharing money. Thanks.",4.33333333333333,4.6,1,1.5,3,3.33333333333333,2
2026-03-27 17:32:17.621,"Yes, I consent - proceed to survey","25-34","Female","Employed full-time","South West — Ekiti, Lagos, Ogun, Ondo, Osun, Oyo","N1,000,000 and above","Yes","More than 5",4,3,5,4,5,5,"Investing first, spend wisely",3,3,"I spend as needs arise and hope it lasts",NA,1,2,4,"I save a fixed amount consistently every month","Yes, regularly (monthly or quarterly)","I do not have enough money left after expenses, I find the process confusing or complicated",1,5,3,3,3,4,2,3,4,4,5,5,5,5,3,5,3,3,"Split it between spending, saving, and investing",3,"I tend to spend impulsively, I often procrastinate on financial tasks, I find it hard to stick to plans or routines",5,"Yes, multiple times","Opay, Access Bank, Zenith Bank, Other (specify below)","Piggyvest, access bank, bamboo","Piggyvest","Other (specify below)","I save money there","It depends on the amount",5,5,5,5,2,5,NA,NA,"Yes, very much",NA,4.33333333333333,2.6,3.8,3.25,4.75,4.33333333333333,3
2026-03-27 17:34:45.454,"Yes, I consent - proceed to survey","35-45","Male","Employed full-time","South West — Ekiti, Lagos, Ogun, Ondo, Osun, Oyo","N1,000,000 and above","Yes","More than 5",5,5,4,5,5,5,"Making structured spendings with adequate savings",3,2,"I have a rough idea of how to split it but do not write it down",NA,3,4,3,"I save occasionally but not on any schedule","Yes, once or twice","I do not have enough money left after expenses, I prefer to keep money accessible for emergencies",3,2,3,3,4,3,2,3,3,4,4,3,3,2,1,3,2,3,"Use it to cover outstanding expenses or debts",3,"I often procrastinate on financial tasks, I find it hard to stick to plans or routines",4,"Yes, multiple times","Opay, GTBank, Access Bank, Other (specify below)","Fidelity bank","GTB","My salary or main income is paid into it",NA,"Leave it there and spend from it directly",4,4,4,5,4,5,"Security","Unscheduled expenses","Yes, very much",NA,4.83333333333333,3,3,2.75,3.5,2,2.5
2026-03-27 17:35:31.009,"Yes, I consent - proceed to survey","35-45","Male","Freelancer / Contract worker","South West — Ekiti, Lagos, Ogun, Ondo, Osun, Oyo","N1,000,000 and above","Yes","1.0",5,5,5,5,5,5,"It involves putting my money in the right investment channels that would guarantee good ROIs, both in the short term and the long term.",3,3,"I transfer most of it to another account and spend from what remains",NA,3,3,4,"I save a fixed amount consistently every month","Yes, regularly (monthly or quarterly)","I keep postponing it",3,1,1,3,2,3,3,3,3,3,2,2,2,1,2,2,3,4,"Save all or most of it",3,"I tend to spend impulsively",4,"Yes, once or twice","UBA",NA,"Commercial Banks","I trust it more than others",NA,"It depends on the amount",5,5,5,5,5,5,"Physical address, Transparency with my money and an available Customer Care unit","Procrastinating investments","Yes, very much","No",5,3.2,2,3,2.25,1.66666666666667,2.5
2026-03-27 17:48:39.914,"Yes, I consent - proceed to survey","35-45","Female","Employed full-time","South West — Ekiti, Lagos, Ogun, Ondo, Osun, Oyo","N1,000,000 and above","Yes","1.0",1,1,1,2,2,2,NA,3,2,"I have a rough idea of how to split it but do not write it down",NA,3,3,3,"I save a fixed amount consistently every month","Yes, once or twice","I do not know enough about investment options",1,1,1,5,2,1,1,2,2,1,1,1,1,1,1,1,1,5,"Split it between spending, saving, and investing",1,"I am generally disciplined with money",5,"No, I have not tried to change my habits","GTBank, Access Bank, Other (specify below)","Piggyvest","First bank","My salary or main income is paid into it",NA,"Leave it there and spend from it directly",5,5,5,5,5,5,NA,"Having information on how best to invest my funds","Yes, very much",NA,1.5,2.8,2,2,1,1,1
2026-03-27 17:51:31.603,"Yes, I consent - proceed to survey","18-24","Female","Student","North Central — Benue, Kogi, Kwara, Nasarawa, Niger, Plateau, FCT (Abuja)",NA,"Yes","1.0",5,5,5,5,5,4,"By budgeting  and allocating my finances to various needs, and expenses. Then investing part of it like buying shares, stocks and keeping track of my finance expenses",3,3,"I spend as needs arise and hope it lasts",NA,5,5,3,"I intend to save but rarely do","No, but I have been planning to","I do not have enough money left after expenses, I do not know enough about investment options, I do not trust investment platforms",5,2,2,4,1,1,3,5,1,4,2,4,4,1,2,2,1,4,"Split it between spending, saving, and investing",4,"I often procrastinate on financial tasks",5,"No, I have not tried to change my habits","Moniepoint, Opay",NA,"Monie point","It was my first or oldest account",NA,"Leave it there and spend from it directly",4,5,5,5,4,4,"Its authenticity, regulatory compliance and firm security","When emergency need arises","Somewhat - I would be curious to try it","A banking platform that will help improve my financial expenses",4.83333333333333,3.8,1.6,1.5,3.5,1.66666666666667,1.5
2026-03-27 17:56:14.687,"Yes, I consent - proceed to survey","35-45","Female","Employed full-time","South West — Ekiti, Lagos, Ogun, Ondo, Osun, Oyo","N1,000,000 and above","Yes","2-3",5,4,5,5,5,5,"Making and sticking to budgets",1,1,"I transfer most of it to another account and spend from what remains",NA,1,2,5,"I save a fixed amount consistently every month","Yes, regularly (monthly or quarterly)","Not applicable - I invest consistently",3,3,4,2,2,1,1,3,4,5,5,5,5,2,2,4,1,4,"Save all or most of it",4,"I often procrastinate on financial tasks, I find it hard to stick to plans or routines",4,"Yes, multiple times","Opay",NA,"Hag","My salary or main income is paid into it",NA,"Leave it there and spend from it directly",4,4,4,4,3,4,NA,NA,"Yes, very much",NA,4.83333333333333,2,3.2,2.25,5,2.66666666666667,1.5
2026-03-27 18:01:44.87,"Yes, I consent - proceed to survey","25-34","Female","Employed full-time","North Central — Benue, Kogi, Kwara, Nasarawa, Niger, Plateau, FCT (Abuja)","N600,000 - N999,999","Yes","2-3",2,4,3,1,5,4,"It involves knowing exactly what your total income (money that came into your hands/account) is per time, how much was spent and what it was spent on. Ideally it should include a regular savings for emergency, towards a goal and some form of investment",3,3,"I spend as needs arise and hope it lasts",NA,4,4,2,"I save a fixed amount consistently every month","No, and I have not considered it","I do not have enough money left after expenses, I do not know enough about investment options",2,3,3,2,2,3,4,3,3,3,3,2,2,1,3,3,2,3,"Use it to cover outstanding expenses or debts",2,"I find it hard to stick to plans or routines",3,"No, I have not tried to change my habits","Kuda, GTBank, Access Bank, Other (specify below)","Stanbic IBTC","GT Bank","Other (specify below)","It wasn't my first but I opened it as a student in the University and have increasingly gotten used to it and the GT services","Leave it there and spend from it directly",5,5,5,5,5,5,NA,"Knowing what to prioritise in the face of necessary needs","Yes, very much",NA,3.16666666666667,3.2,3.2,3.25,2.5,2.33333333333333,2.5
2026-03-27 18:03:00.921,"Yes, I consent - proceed to survey","25-34","Female","Employed full-time","South West — Ekiti, Lagos, Ogun, Ondo, Osun, Oyo","N100,000 - N299,999","Yes","2-3",5,5,5,5,5,5,"Using the little you earn to gain more, these includes savings, investment, avoiding unnecessary spendings, budgeting for items within my pay range, etc.",5,5,"I have a rough idea of how to split it but do not write it down",NA,5,5,4,"I save a fixed amount consistently every month","Yes, regularly (monthly or quarterly)","I do not have enough money left after expenses",4,1,1,5,1,1,1,5,3,2,1,1,1,3,4,3,1,5,"Split it between spending, saving, and investing",5,"I am generally disciplined with money",5,"No, I usually succeed when I try","Opay, First Bank",NA,"FIRST BANK","I trust it more than others",NA,"It depends on the amount",5,5,5,5,5,5,"Years of existence. For me, that says a whole lot. Especially in the financial or banking system where banks merge due to one issue or another. Knowing that my bank has been consistent, has many customers, been through most financial crisis and it's still standing. That's a big deal and that's what I consider usually when I want to trust a financial platform.","The prices of goods and services tend to be on the high, while salaries remain stagnant.","Yes, very much","Nothing really. I'm good at managing my finances. I only hope to earn more, so I can invest and save more.",5,4.8,1.2,1.5,1.25,3.33333333333333,1
2026-03-27 18:26:07.988,"Yes, I consent - proceed to survey","25-34","Female","Employed full-time","South West — Ekiti, Lagos, Ogun, Ondo, Osun, Oyo","N300,000 - N599,999","Yes","2-3",4,2,5,5,5,5,"Budgeting, discipline in spending and maximisation of savings",3,2,"I spend as needs arise and hope it lasts",NA,2,2,5,"I save a fixed amount consistently every month","Yes, regularly (monthly or quarterly)","Not applicable - I invest consistently",2,5,3,3,5,2,5,1,4,3,3,5,5,5,5,3,5,3,"Split it between spending, saving, and investing",2,"I tend to spend impulsively, I struggle to delay gratification, I find it hard to stick to plans or routines",4,"Yes, multiple times","Kuda, Access Bank",NA,"AccessBank","It was my first or oldest account",NA,"Leave it there and spend from it directly",5,5,5,5,5,5,"A budgeting and expense tracking system","It’s never enough because needs keep arising","Yes, very much","I need an app that helps with budgeting",4.33333333333333,2.8,4,4,4,4.33333333333333,4
